# time,745nm
-0.5,23
-0.475,20
-0.45,21
-0.425,28
-0.4,44
-0.375,85
-0.35,126
-0.325,259
-0.3,467
-0.275,856
-0.25,1330
-0.225,2169
-0.2,3449
-0.175,4798
-0.15,5988
-0.125,7242
-0.1,8167
-0.075,8926
-0.05,9491
-0.025,9820
0,10249
0.025,10190
0.05,10061
0.075,9170
0.1,7902
0.125,6840
0.15,5674
0.175,4546
0.2,3664
0.225,2908
0.25,2359
0.275,1847
0.3,1595
0.325,1293
0.35,1115
0.375,986
0.4,812
0.425,759
0.45,645
0.475,645
0.5,558
0.525,523
0.55,461
0.575,459
0.6,429
0.625,405
0.65,378
0.675,380
0.7,370
0.725,341
0.75,336
0.775,291
0.8,324
0.825,310
0.85,276
0.875,272
0.9,280
0.925,269
0.95,259
0.975,242
1,264
1.025,305
1.05,279
1.075,302
1.1,278
1.125,308
1.15,323
1.175,305
1.2,293
1.225,285
1.25,274
1.275,262
1.3,241
1.325,253
1.35,236
1.375,220
1.4,185
1.425,183
1.45,165
1.475,170
1.5,136
1.525,121
1.55,121
1.575,126
1.6,144
1.625,129
1.65,152
1.675,131
1.7,140
1.725,145
1.75,129
1.775,134
1.8,133
1.825,135
1.85,104
1.875,122
1.9,118
1.925,106
1.95,102
1.975,118
2,124
2.025,103
2.05,110
2.075,127
2.1,96
2.125,107
2.15,100
2.175,111
2.2,100
2.225,66
2.25,58
2.275,72
2.3,71
2.325,52
2.35,46
2.375,49
2.4,63
2.425,51
2.45,46
2.475,47
2.5,68
2.525,56
2.55,61
2.575,62
2.6,41
2.625,73
2.65,54
2.675,49
2.7,39
2.725,38
2.75,25
2.775,25
2.8,35
2.825,52
2.85,35
2.875,56
2.9,17
2.925,44
2.95,37
2.975,34
3,18
3.025,21
3.05,30
3.075,31
3.1,41
3.125,38
3.15,24
3.175,28
3.2,33
3.225,35
3.25,12
3.275,44
3.3,13
3.325,33
3.35,23
3.375,14
3.4,35
3.425,27
3.45,29
3.475,27
3.5,30
3.525,33
3.55,43
3.575,11
3.6,26
3.625,33
3.65,38
3.675,42
3.7,17
3.725,20
3.75,39
3.775,37
3.8,36
3.825,36
3.85,27
3.875,30
3.9,28
3.925,19
3.95,33
3.975,15
4,33
4.025,41
4.05,21
4.075,21
4.1,17
4.125,24
4.15,13
4.175,19
4.2,18
